,Include in pandas?,Bibtex,old labels,latex numbering,proof numbering,States storage,paper title,citation bib,other naming,CAM/TCAM/ACAM/dCAM,,Unique label,cell structure,technology type,Process Node nm,Area (µm²),k,search energy,year,,storage of bits,non-volatility,refresh energy,,search energy or energy consumption (fJ). need fj/bit/search,search Frequency (MHz) or latency (ns),other speed,match line size in bits,Vdd (V),power (W),benefits of this design,
,,"@INPROCEEDINGS{SRAM_1,
  author={Kasai, G. and Takarabe, Y. and Furumi, K. and Yoneda, M.},
  booktitle={Proceedings of the IEEE 2003 Custom Integrated Circuits Conference, 2003.}, 
  title={200MHz/200MSPS 3.2W at 1.5V Vdd, 9.4Mbits ternary CAM with new charge injection match detect circuits and bank selection scheme}, 
  year={2003},
  volume={},
  number={},
  pages={387-390},
  keywords={Computer aided manufacturing;CADCAM;Circuits;Capacitance;Voltage;Energy consumption;Random access memory;Logic;Internet;Packet switching},
  doi={10.1109/CICC.2003.1249424}}",52,1,1,3,"200 MHz/200 MSPS 3.2 W at 1.5 V Vdd, 9.4 Mbits ternary CAM with new charge injection match detect circuits and bank selection scheme","G. Kasai, Y. Takarabe, K. Furumi, and M. Yoneda, “200 MHz/200 MSPS 3.2 W at 1.5 V Vdd, 9.4 Mbits ternary CAM with new charge injection match detect circuits and bank selection scheme,” in Proc. IEEE Custom Integr. Circuits Conf., Sep. 2003, pp. 387–390, doi: 10. 1109/CICC.2003.1249424.",6.73 CICC '03,TCAM,,SRAM_1,16T NOR,SRAM,130,6.73,398.2248521,,2003,,Digital,no,,,,,,,,,,
,,"@ARTICLE{SRAM_2,
  author={Sungdae Choi and Sohn, K. and Hoi-Jun Yoo},
  journal={IEEE Journal of Solid-State Circuits}, 
  title={A 0.7-fJ/bit/search 2.2-ns search time hybrid-type TCAM architecture}, 
  year={2005},
  volume={40},
  number={1},
  pages={254-260},
  keywords={Computer aided manufacturing;CADCAM;Repeaters;Voltage;Transistors;Timing;Testing;CMOS process;Energy efficiency;Content-addressable memory (CAM);hidden bank selection (HBS);high speed;hybrid type;low power;match line repeater (MLRPT)},
  doi={10.1109/JSSC.2004.837979}}",37,28,28,3,A 0.7-fJ/bit/search 2.2-ns search time hybrid-type TCAM architecture,"S. Choi, K. Sohn, and H.-J. Yoo, “A 0.7-fJ/bit/search 2.2-ns search time hybrid-type TCAM architecture,” IEEE J. Solid-State Circuits, vol. 40, no. 1, pp. 254–260, Jan. 2005, doi: 10.1109/JSSC.2004.837979.",,TCAM,,SRAM_2,16T NAND,SRAM,100,22.4,2240,0.7,2005,,Digital,yes,,,,,,,,,,
,,"@ARTICLE{SRAM_3,
  author={Perng-Fei Lin and Kuo, J.B.},
  journal={IEEE Journal of Solid-State Circuits}, 
  title={A 1-V 128-kb four-way set-associative CMOS cache memory using wordline-oriented tag-compare (WLOTC) structure with the content-addressable-memory (CAM) 10-transistor tag cell}, 
  year={2001},
  volume={36},
  number={4},
  pages={666-675},
  keywords={Cache memory;Computer aided manufacturing;CADCAM;Very large scale integration;CMOS technology;Pulse generation;Signal generators;Energy consumption;Low voltage;Paper technology},
  doi={10.1109/4.913745}}",47,29,29,2,"A 1-V 128-kb four-way set-associative CMOS cache memory using wordline-oriented tag-compare (WLOTC) structure with the content-addressable-memory (CAM) 10-transistor tag cell,","P. Lin and J. Kuo, “A 1-V 128-kb four-way set-associative CMOS cache memory using wordline-oriented tag-compare (WLOTC) structure with the content-addressable-memory (CAM) 10-transistor tag cell,” IEEE J. Solid-State Circuits, vol. 36, pp. 666–676, Apr. 2001.",,TCAM,,SRAM_3,10T,SRAM,180,11.1544,344.2716049,,2001,,Digital,,,,,,2.7 ns,20,1,,,
,,"@ARTICLE{SRAM_4,
  author={Hayashi, Isamu and Amano, Teruhiko and Watanabe, Naoya and Yano, Yuji and Kuroda, Yasuto and Shirata, Masaya and Dosaka, Katsumi and Nii, Koji and Noda, Hideyuki and Kawai, Hiroyuki},
  journal={IEEE Journal of Solid-State Circuits}, 
  title={A 250-MHz 18-Mb Full Ternary CAM With Low-Voltage Matchline Sensing Scheme in 65-nm CMOS}, 
  year={2013},
  volume={48},
  number={11},
  pages={2671-2680},
  keywords={Sensors;Power demand;Noise;Computer architecture;Timing;Transistors;Discharges (electric);Differential sense amplifier;low-voltage matchline;reference voltage generator;ternary content-addressable memory (TCAM);voltage down converter},
  doi={10.1109/JSSC.2013.2274888}}",53,30,30,3,A 250‐MHz 18‐Mb full ternary CAM with low‐voltage matchline sensing scheme in 65‐nm CMOS,"Hayashi, I., et al.: A 250‐MHz 18‐Mb full ternary CAM with low‐voltage matchline sensing scheme in 65‐nm CMOS. IEEE J. Solid‐Sate Circ. 48(11), 2671–2680 (2013)",1.69 JSSC '13,TCAM,,SRAM_4,16T NOR,SRAM,65,1.69,400,1.98,2013,,Digital,no,,,1.98,1.9,,,,,,
,,"@INPROCEEDINGS{SRAM_5,
  author={Jeloka, Supreet and Akesh, Naveen and Sylvester, Dennis and Blaauw, David},
  booktitle={2015 Symposium on VLSI Circuits (VLSI Circuits)}, 
  title={A configurable TCAM/BCAM/SRAM using 28nm push-rule 6T bit cell}, 
  year={2015},
  volume={},
  number={},
  pages={C272-C273},
  keywords={Computer aided manufacturing;Arrays;Decoding;SRAM cells;Transistors;Discharges (electric)},
  doi={10.1109/VLSIC.2015.7231285}}",38,31,31,2,A Configurable TCAM/BCAM/SRAM Using 28nm Push-Rule 6T Bit Cell,,,TCAM/BCAM/SRAM,,SRAM_5,6T,SRAM,28,0.152,193.877551,0.6,2015,,Digital,Yes,,,0.56,,,,,,,
,,"@INPROCEEDINGS{SRAM_6,
  author={Do, Anh Tuan and Yin, Chun and Yeo, Kiat Seng and Kim, Tony Tae-Hyoung},
  booktitle={2013 Proceedings of the ESSCIRC (ESSCIRC)}, 
  title={Design of a power-efficient CAM using automated background checking scheme for small match line swing}, 
  year={2013},
  volume={},
  number={},
  pages={209-212},
  keywords={Computer aided manufacturing;Sensors;Delays;Power demand;Random access memory;Generators;Associative memory;CAM;small match line swing;match-line;variation tolerant design},
  doi={10.1109/ESSCIRC.2013.6649109}}",46,52,47,2,Design of a power‐efficient CAM using automated background checking scheme for small match line swing,"Do, Anh Tuan; Yin, Chun; Yeo, Kiat Seng; Kim, Tony Tae‐Hyoung",,BCAM,,SRAM_6,10T,SRAM,65,3.3,781.0650888,0.77,2013,,Digital,,,estimated from die photo,,,,,,,,
,,"@ARTICLE{SRAM_7,
author={Wang, Chua-Chin and Hsu, Chia-Hao and Huang, Chi-Chun and Wu, Jun-Han},
journal={IEEE Transactions on Circuits and Systems II: Express Briefs},
title={A Self-Disabled Sensing Technique for Content-Addressable Memories},
year={2010},
volume={57},
number={1},
pages={31-35},
keywords={Computer aided manufacturing;CADCAM;Energy consumption;Multilevel systems;Circuits;Costs;Power dissipation;Voltage;Switches;Differential amplifiers;Content-addressable memories (CAMs);match line sense amplifier (MLSA);nand-type CAM cell;self-disabled},
doi={10.1109/TCSII.2009.2037995}}",54,57,52,2,"A Self-Disabled Sensing Technique for Content-Addressable Memories
C.Wang  ., TCAS-II, 2010.",,,,,SRAM_7,9T,SRAM,130,20.213,1196.035503,1.872,2010,,,,,,,,,,,,,
,,"@ARTICLE{SRAM_8,
author={Yang, Byung-Do and Lee, Yong-Kyu and Sung, Si-Woo and Min, Jae-Joong and Oh, Jae-Mun and Kang, Hyeong-Ju},
journal={IEEE Transactions on Circuits and Systems I: Regular Papers},
title={A Low Power Content Addressable Memory Using Low Swing Search Lines},
year={2011},
volume={58},
number={12},
pages={2849-2858},
keywords={Power demand;Computer architecture;MOSFETs;Associative memory;Content addressable memory (CAM);low swing;match line;nand cell;nor cell;search line},
doi={10.1109/TCSI.2011.2158703}}",34,46,41,3,"A Low Power Content Addressable Memory Using Low Swing Search Lines
B.Yang   TCAS-I, 2011.",,,,,SRAM_8,13T,SRAM,180,30,925.9259259,2.82,2011,,,,,,,,,,,,,
,,"@INPROCEEDINGS{SRAM_9,
  author={Sultan, M. and Siddiqui, M. and Sonika and Visweswaran, G .S},
  booktitle={TENCON 2008 - 2008 IEEE Region 10 Conference}, 
  title={A low-power ternary content addressable memory (TCAM) with segmented and non-segmented matchlines}, 
  year={2008},
  volume={},
  number={},
  pages={1-5},
  keywords={Associative memory;Multilevel systems;Logic;Capacitance;Cams;Paper technology;Energy consumption;CMOS technology;Computer aided manufacturing;CADCAM},
  doi={10.1109/TENCON.2008.4766746}}",55,32,32,3,A low-power ternary content addressable memory (TCAM) with segmented and nonsegmented matchlines,"M. Sultan, M. Siddiqui, Sonika, and G. S. Visweswaran, “A low-power ternary content addressable memory (TCAM) with segmented and nonsegmented matchlines,” in Proc. IEEE Region 10 Conf. (TENCON), Nov. 2008, pp. 1–5, doi: 10.1109/TENCON.2008.4766746.",12.9 TENCON '08,TCAM,,SRAM_9,12T NAND,SRAM,130,12.93,765.0887574,,2008,,Digital,no,,,,,,,,,,
,,"@ARTICLE{SRAM_10,
  author={Chen, Jian and Zhao, Wenfeng and Wang, Yuqi and Shu, Yuhao and Jiang, Weixiong and Ha, Yajun},
  journal={IEEE Transactions on Very Large Scale Integration (VLSI) Systems}, 
  title={A Reliable 8T SRAM for High-Speed Searching and Logic-in-Memory Operations}, 
  year={2022},
  volume={30},
  number={6},
  pages={769-780},
  keywords={Reliability;Transistors;Random access memory;Sensors;Integrated circuit reliability;Voltage;Standards;Content addressable memory (CAM);in-memory computing (IMC);read disturbance;SRAM},
  doi={10.1109/TVLSI.2022.3164756}}",45,51,46,3,A Reliable 8T SRAM for High-Speed Searching and Logic-in-Memory Operations,,,,,SRAM_10,8T SRAM,SRAM,28,0.739,942.6020408,,2022,,Digital,No,,,,,,,,,,
